100, 162, 2
205, -146, 1
150, 102, 2
146, -166, 2
153, -85, 2
-75, -200, 1
-30, -146, 3
-180, 135, 2
-120, -70, 3
-330, 100, 3
-153, 185, 3
130, 25, 2
-160, 250, 2
360, -125, 1
255, 15, 1
250, -110, 2
53, -163, 1
-175, 5, 1
-185, -128, 3
-285, 15, 3
-250, 115, 3
330, 0, 2
115, 140, 1
-38, 190, 1
200, -220, 1
215, -10, 2
-110, -205, 2
-135, -160, 3
-135, 260, 2
-310, 5, 3
-130, 175, 2
150, 125, 1
175, -160, 1
270, -150, 1
0, -185, 3
130, 0, 3
90, 190, 1
-105, 105, 1
70, 150, 2
-250, 220, 3
-550, -15, 3
159, -225, 1
